major,Semester,Year,degree,university,top,G-V,G-Q,G-A,gpa-norm,toefl,acceptance
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.8125,0.8125,3,0.725,107,AD
EE,Fall,2014,MS,Carnegie Mellon University,,,,,0.975,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.875,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
ECE,Fall,2014,MS,Carnegie Mellon University,15/211,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,Rej
Civil,Fall,2014,PhD,Carnegie Mellon University,,0.625,0.625,5,,96,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,Rej
EE,Fall,2014,PhD,Carnegie Mellon University,,,,,,,AD
CS,Fall,2012,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.6,0.825,3.5,,102,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,15/211,0.625,0.625,4,0.975,95,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.975,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.95,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.75,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.8,0.95,3.5,0.933333333,105,Rej
Other,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
Civil,Fall,2014,PhD,Carnegie Mellon University,30/211,,,,0.9,,Rej
Material,Fall,2014,PhD,Carnegie Mellon University,30/211,,,,,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.91,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.925,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.9,,Rej
EE,Fall,2014,MS,Carnegie Mellon University,,,,,0.99,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.475,1,3,0.9375,101,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.733333333,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.85,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.6,1,3.5,0.85,104,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.925,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,0.725,0.975,4,0.9,107,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,0.475,1,3,0.82,102,Rej
CS,Fall,2014,MS,Carnegie Mellon University,30/211,,,,,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,0.775,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,30/211,0.8,0.8,3,,103,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,15/211,0.7625,0.7625,3.5,0.85,103,AD
EE,Fall,2014,MS,Carnegie Mellon University,,,,,0.2,,AD
CS,Fall,2014,MS,Carnegie Mellon University,15/211,0.7625,0.7625,3.5,0.85,103,AD
CS,Fall,2014,MS,Carnegie Mellon University,,0.625,1,3,0.975,100,AD
ECE,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
ECE,Fall,2014,MS,Carnegie Mellon University,15/211,0.575,0.975,3.5,,103,AD
EE,Fall,2014,MS,Carnegie Mellon University,30/211,0.75,0.75,2,0.9,107,AD
EE,Fall,2014,MS,Carnegie Mellon University,15/211,0.6,1,3.5,,100,AD
EE,Fall,2014,MS,Carnegie Mellon University,,,,,0.9,,AD
Material,Fall,2014,PhD,Carnegie Mellon University,,0.5,0.9,4,,111,Rej
Chem,Fall,2014,MS,Carnegie Mellon University,,,,,0.85,,AD
Other,Fall,2014,MS,Carnegie Mellon University,15/211,,,,0.85,,Rej
Material,Fall,2014,PhD,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2014,PhD,Carnegie Mellon University,,,,,0.6,,AD
Material,Fall,2014,MS,Carnegie Mellon University,,,,,0.075,,AD
Civil,Fall,2014,MS,Carnegie Mellon University,,,,,0.733333333,,AD
MIS/DataScience,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2014,MS,Carnegie Mellon University,15/211,0.825,0.825,3,0.85,103,Rej
CS,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
Material,Fall,2014,MS,Carnegie Mellon University,,,,,0.975,,AD
CS,Fall,2014,PhD,Carnegie Mellon University,15/211,0.875,0.625,4,0.94,110,AD
Civil,Fall,2014,MS,Carnegie Mellon University,,,,,,,AD
Material,Fall,2013,PhD,Carnegie Mellon University,15/211,0.75,0.75,0,0.8,106,Rej
EE,Fall,2013,PhD,Carnegie Mellon University,,,,,0.9,,AD
Mech,Fall,2013,PhD,Carnegie Mellon University,,,,,0.85,,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,0.96,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
Stat/Biostat,Fall,2013,MS,Carnegie Mellon University,15/211,,,,,,AD
Mech,Fall,2013,PhD,Carnegie Mellon University,,,,,,,AD
Envir,Fall,2013,MS,Carnegie Mellon University,,,,,0.825,,Rej
Mech,Fall,2013,PhD,Carnegie Mellon University,,,,,,,Rej
Mech,Fall,2013,PhD,Carnegie Mellon University,30/211,0.8,0.8,3,0.975,99,Rej
Chem,Fall,2013,PhD,Carnegie Mellon University,15/211,0.8,0.8,3.5,0.925,107,Rej
MIS/DataScience,Fall,2013,PhD,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
Other,Fall,2013,MS,Carnegie Mellon University,15/211,0.8,0.975,3.5,,100,Rej
CS,Fall,2012,MS,Carnegie Mellon University,30/211,,,,,97,AD
Other,Fall,2013,MS,Carnegie Mellon University,,0.75,0.925,3.5,0.975,107,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,,0.575,1,3.5,0.916666667,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.6,0.9,4,0.8,107,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.975,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.2,,AD
Mech,Fall,2013,MS,Carnegie Mellon University,,0.8,0.95,3,0.75,101,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,0.5,0.825,3,0.75,100,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,0.5,0.825,3,0.75,100,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,30/211,0.525,0.95,3,0.15,102,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.6625,0.6625,3.5,0.825,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Other,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.675,0.9,3,0.825,97,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.5,0.975,3,0.8875,98,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Math,Fall,2013,MS,Carnegie Mellon University,30/211,0.6,1,4,,95,AD
EE,Fall,2013,MS,Carnegie Mellon University,,0.675,1,3,0.8625,104,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,103,Rej
EE,Fall,2013,MS,Carnegie Mellon University,30/211,0.575,1,3.5,0.95,107,AD
Material,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2013,MS,Carnegie Mellon University,15/211,0.75,0.9,4,,105,AD
EE,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2013,PhD,Carnegie Mellon University,,,,,0.925,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.925,,AD
Mech,Fall,2013,MS,Carnegie Mellon University,15/211,0.625,0.95,3.5,0.75,104,Rej
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.55,0.9,3.5,0.825,97,Rej
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.75,0.75,0,,105,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.775,,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Mech,Fall,2013,MS,Carnegie Mellon University,15/211,0.75,0.9,4,,116,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.85,0.55,3,0.875,100,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.925,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,15/211,0.55,0.975,3.5,,105,Rej
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,0.8,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.6,0.95,3.5,0.85,101,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.925,0.625,3,0.925,106,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.825,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.325,0.2,0,0.9,102,AD
EE,Fall,2013,MS,Carnegie Mellon University,,0.7125,0.7125,3.5,0.9375,95,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.65,0.9,3,,101,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.8,0.9,4,,104,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.625,0.825,3,0.9,102,Rej
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.8,0.8,3,,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.5,0.9,3.5,0.85,99,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.925,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.6,1,3.5,0.9375,108,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,,,,,100,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.35,0.975,3.5,0.8,101,Rej
Physics,Fall,2013,PhD,Carnegie Mellon University,,0.9,0.625,0,,100,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.5,0.95,3,0.9,103,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.525,0.85,3,0.875,87,Rej
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.55,0.9,3.5,0.825,97,Rej
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.6,1,3,,103,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.7875,0.7875,3.5,0.933333333,105,Rej
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.625,1,2.5,,101,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.95,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Other,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Spring,2013,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,0.6625,0.6625,3.5,0.825,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.325,0.975,3,,100,AD
Envir,Fall,2013,MS,Carnegie Mellon University,15/211,0.625,0.9,4,,109,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.525,0.95,3.5,0.825,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.7875,0.7875,3.5,0.933333333,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.65,0.9,3,,101,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.8,0.8,3,,105,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.65,0.9,3,,101,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.675,1,3.5,,104,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Civil,Fall,2013,MS,Carnegie Mellon University,30/211,0.375,1,3.5,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.75,0.9,3.5,0.9,100,AD
Mech,Fall,2013,MS,Carnegie Mellon University,15/211,0.75,0.95,3.5,0.875,97,AD
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Other,Fall,2013,MS,Carnegie Mellon University,15/211,0.75,0.925,3.5,0.975,107,Rej
Civil,Fall,2013,MS,Carnegie Mellon University,,0.85,0.9,3,0.875,106,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,1,,AD
Mech,Fall,2013,MS,Carnegie Mellon University,,,,,,104,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.5,0.825,3,0.75,100,AD
EE,Fall,2013,MS,Carnegie Mellon University,30/211,0.675,0.975,4,0.9,108,Rej
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,0.7625,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.825,,AD
CS,Fall,2013,PhD,Carnegie Mellon University,,0.325,0.9,3,0.775,95,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,1,,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.5,0.975,3,0.8875,98,AD
Civil,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.95,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.85,0.575,4.5,0.8,108,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,1,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,0.35,0.975,3,,90,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
Civil,Fall,2013,MS,Carnegie Mellon University,30/211,,,,0.85,94,AD
Bio,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.91,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.875,,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.95,0.95,4,0.975,112,Rej
EE,Fall,2013,MS,Carnegie Mellon University,,,,,0.9,,Rej
EE,Fall,2013,MS,Carnegie Mellon University,,,,,0.975,,AD
EE,Fall,2013,MS,Carnegie Mellon University,,,,,0.975,,AD
EE,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
Civil,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
Civil,Fall,2013,MS,Carnegie Mellon University,30/211,0.65,0.925,3.5,,102,AD
CS,Fall,2013,MS,Carnegie Mellon University,15/211,0.325,0.975,3,,100,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.875,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,0.875,0.875,1,0.825,104,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.95,,AD
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.45,0.875,3,0.85,101,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.35,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,0.75,0.75,2,0.9,106,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.6,1,3,,97,AD
MIS/DataScience,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2016,MS,Carnegie Mellon University,15/211,0.775,0.775,3.5,0.525,95,AD
EE,Fall,2016,MS,Carnegie Mellon University,,,,,0.93,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.975,,AD
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.675,1,3.5,,104,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.8125,0.8125,3,,107,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.8125,0.8125,3,,105,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.9,,Rej
Bio,Fall,2016,MS,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.8125,0.8125,3,,105,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.9625,,AD
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.45,0.875,3,0.85,101,AD
Other,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,30/211,0.825,0.825,3.5,0.925,107,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.55,1,3,0.925,101,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.816666667,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.75,0.75,3,0.81,106,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.875,0.875,0,,104,AD
MIS/DataScience,Fall,2016,MS,Carnegie Mellon University,,0.6,0.925,3,,102,Rej
CS,Fall,2016,MS,Carnegie Mellon University,15/211,0.85,0.85,3.5,0.85,109,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2016,MS,Carnegie Mellon University,,,,,0.4,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,104,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2016,MS,Carnegie Mellon University,30/211,0.7875,0.7875,3,0.825,105,Rej
Material,Fall,2013,MS,Carnegie Mellon University,15/211,0.6,0.975,3.5,,107,AD
Chem,Fall,2013,MS,Carnegie Mellon University,,0.475,1,3,0.825,102,Rej
Material,Fall,2013,MS,Carnegie Mellon University,,,,,0.2,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,,,Rej
Material,Fall,2013,MS,Carnegie Mellon University,30/211,0.725,0.95,3.5,0.975,105,AD
Material,Fall,2013,MS,Carnegie Mellon University,,,,,0.85,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.925,,Rej
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,,,Rej
Envir,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,PhD,Carnegie Mellon University,15/211,0.75,0.9,3,,96,Rej
CS,Fall,2013,,Carnegie Mellon University,,,,,,,
CS,Fall,2013,PhD,Carnegie Mellon University,,0.825,0.9,3,0.925,93,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,0.95,0.9,3,0.75,101,Rej
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.65,0.85,3,,100,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.925,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.55,0.95,3.5,0.85,106,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.3,0.175,0,,103,AD
Stat/Biostat,Fall,2013,PhD,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,PhD,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,,,,,97,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,0.8,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.85,0.85,3,0.875,109,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.933333333,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,0.875,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,30/211,0.4,0.8,3.5,,92,AD
EE,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,Rej
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,30/211,0.575,0.9,3,0.875,109,Rej
CS,Fall,2013,MS,Carnegie Mellon University,,,,,1,,AD
MIS/DataScience,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2013,MS,Carnegie Mellon University,,,,,,,AD
ECE,Spring,2013,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2012,MS,Carnegie Mellon University,,,,,0.9,,Rej
,Fall,2012,MS,Carnegie Mellon University,30/211,,,,0.275,,AD
CS,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,30/211,0.5,0.925,3.5,,97,Rej
EE,Fall,2012,MS,Carnegie Mellon University,15/211,0.85,0.575,3.5,0.825,98,AD
Stat/Biostat,Fall,2012,MS,Carnegie Mellon University,,,,,0.975,,Rej
EE,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
EE,Fall,2012,MS,Carnegie Mellon University,,,,,0.84,,AD
CS,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
CS,Fall,2012,MS,Carnegie Mellon University,15/211,0.85,0.575,0,,108,AD
EE,Fall,2012,MS,Carnegie Mellon University,15/211,0.975,0.7,0,,103,AD
EE,Fall,2012,MS,Carnegie Mellon University,,0.8,0.85,3.5,,106,AD
EE,Fall,2012,MS,Carnegie Mellon University,,,,,0.925,,AD
Bio,Fall,2012,MS,Carnegie Mellon University,15/211,0.85,0.55,0,,102,AD
Financial,Fall,2012,MS,Carnegie Mellon University,30/211,0.9,0.625,3,,102,Rej
CS,Fall,2012,MS,Carnegie Mellon University,,,,,0.875,,AD
Financial,Fall,2012,MS,Carnegie Mellon University,,0.9,0.625,0,0.9,103,Rej
Financial,Fall,2012,MS,Carnegie Mellon University,,0.85,0.575,0,0.9,102,Rej
Financial,Fall,2012,MS,Carnegie Mellon University,,,,,0.925,,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
Other,Fall,2012,MS,Carnegie Mellon University,,,,,0.775,,Rej
CS,Fall,2012,MS,Carnegie Mellon University,30/211,0.775,0.9,3,0.025,100,Rej
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,,,Rej
Other,Fall,2012,MS,Carnegie Mellon University,,,,,0.875,,Rej
CS,Fall,2012,MS,Carnegie Mellon University,15/211,0.925,0.65,0,,110,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,15/211,0.7625,0.7625,3.5,0.875,108,Rej
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,,,Rej
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,0.85,0.575,4,0.9125,106,Rej
CS,Fall,2012,MS,Carnegie Mellon University,15/211,0.675,0.9,3,,101,Rej
CS,Fall,2012,MS,Carnegie Mellon University,,0.85,0.55,3,,100,Rej
CS,Fall,2012,MS,Carnegie Mellon University,15/211,,,,,,Rej
CS,Fall,2012,MS,Carnegie Mellon University,30/211,0.85,0.575,3,0.8375,103,Rej
CS,Fall,2012,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2012,MS,Carnegie Mellon University,,,,,0.9,,Rej
CS,Fall,2012,MS,Carnegie Mellon University,,0.45,0.925,3.5,0.425,105,Rej
CS,Fall,2012,MS,Carnegie Mellon University,15/211,0.7625,0.7625,3.5,0.875,108,Rej
Mech,Fall,2012,PhD,Carnegie Mellon University,15/211,0.875,0.6,0,,99,Rej
Mech,Fall,2012,PhD,Carnegie Mellon University,30/211,0.575,0.85,3,0.825,103,Rej
Mech,Fall,2012,PhD,Carnegie Mellon University,,,,,,,Rej
Mech,Fall,2012,MS,Carnegie Mellon University,,,,,,,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,0.95,,AD
MIS/DataScience,Fall,2012,MS,Carnegie Mellon University,,,,,0.85,,AD
Other,Fall,2015,MS,Carnegie Mellon University,15/211,0.6,0.975,3,0.925,102,AD
CS,Fall,2015,MS,Carnegie Mellon University,15/211,0.55,0.975,3,,101,AD
CS,Fall,2015,MS,Carnegie Mellon University,,,,,0.75,,AD
MIS/DataScience,Fall,2015,MS,Carnegie Mellon University,,,,,,,Rej
CS,Fall,2015,MS,Carnegie Mellon University,,0.75,0.75,3,,103,AD
