user	url	gpa	Semester	Year	degree	acceptance	university	majors	G	T	top
janezhou91sz	http://www.1point3acres.com/bbs/thread-126936-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	Material			
terrym	http://www.1point3acres.com/bbs/thread-126791-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
2015offers	http://www.1point3acres.com/bbs/thread-124089-1-1.html	3.9	Fall	2015.0	MS	AD	'University of California, Los Angeles'	Stat/Biostat			
JimmyZhuang	http://www.1point3acres.com/bbs/thread-126870-1-1.html	3.7	Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			15/211
eonian	http://www.1point3acres.com/bbs/thread-124257-1-1.html	3.7	Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
Commander	http://www.1point3acres.com/bbs/thread-126729-1-1.html		Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	CS			
yijingru	http://www.1point3acres.com/bbs/thread-126514-1-1.html	4.2	Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	CS			
iSG	http://www.1point3acres.com/bbs/thread-124147-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	Stat/Biostat			
dirkxie	http://www.1point3acres.com/bbs/thread-126344-1-1.html		Fall	2015.0			'University of California, Los Angeles'	EE			
cuchulainnut	http://www.1point3acres.com/bbs/thread-124204-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS	157 170 3.5	104(s22)	89/100
lalatiantian	http://www.1point3acres.com/bbs/thread-124157-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
Dobby	http://www.1point3acres.com/bbs/thread-118944-1-1.html	8.5	Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS	325	94(s19)	30/211
gunnerye	http://www.1point3acres.com/bbs/thread-125230-1-1.html	7.3	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME	324+3	105(23)	15/211
GoodluckJanet	http://www.1point3acres.com/bbs/thread-122395-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
IronDome	http://www.1point3acres.com/bbs/thread-125360-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME, AE			
lambency77	http://www.1point3acres.com/bbs/thread-125530-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	ME			
tyrjcliu	http://www.1point3acres.com/bbs/thread-125255-1-1.html	3.5	Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	EE			
????	http://www.1point3acres.com/bbs/thread-123844-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
Just_Jump	http://www.1point3acres.com/bbs/thread-125223-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME			
zhanglw	http://www.1point3acres.com/bbs/thread-125225-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME			30/211
benjie2015	http://www.1point3acres.com/bbs/thread-125210-1-1.html	3.7	Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	EE			
yuyunfan	http://www.1point3acres.com/bbs/thread-27662-1-1.html		Fall	2012.0	MS	AD	'University of California, Los Angeles'	EE			15/211
wlflinda	http://www.1point3acres.com/bbs/thread-27762-1-1.html		Fall	2012.0	MS	Rej	'University of California, Los Angeles'	CS			
???	http://www.1point3acres.com/bbs/thread-27788-1-1.html	3.6	Fall	2012.0	MS	Rej	'University of California, Los Angeles'	ME	1363.5	97(S19) T T	30/211
????	http://www.1point3acres.com/bbs/thread-27514-1-1.html	0.5	Fall	2012.0	MS	Rej	'University of California, Los Angeles'	CS	540+800+3	97(23)	30/211
?Polo	http://www.1point3acres.com/bbs/thread-27238-1-1.html	8.2	Fall	2012.0	PhD	Offer	'University of California, Los Angeles'	CS			
?sh	http://www.1point3acres.com/bbs/thread-26276-1-1.html	3.7	Fall	2012.0	MS	Rej	'University of California, Los Angeles'	MFE/Fin/FinMath, Vandy, Columbia, Conell, Finance, UPenn, Econ			
kisstwice	http://www.1point3acres.com/bbs/thread-23138-1-1.html	3.9	Fall	2012.0	PhD	Offer	'University of California, Los Angeles'	CS			
tanglinzhu12	http://www.1point3acres.com/bbs/thread-23524-1-1.html		Fall	2012.0	PhD	Rej	'University of California, Los Angeles'	CS			30/211
yexy07	http://www.1point3acres.com/bbs/thread-22749-1-1.html		Fall	2012.0	PhD	Offer	'University of California, Los Angeles'	BME			
jjtianyang	http://www.1point3acres.com/bbs/thread-120208-1-1.html	4.9	Fall	2015.0	PhD	Offer	'University of California, Los Angeles'	ME			
uaye	http://www.1point3acres.com/bbs/thread-124086-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	Stat/Biostat	325	106	30/211
ranchoking	http://www.1point3acres.com/bbs/thread-124583-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CivilEng			
huangjiahao	http://www.1point3acres.com/bbs/thread-124831-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CivilEng			30/211
yanguanghl77	http://www.1point3acres.com/bbs/thread-124549-1-1.html	3.8	Fall	2015.0	MS	AD	'University of California, Los Angeles'	CivilEng	322+3.5	104	30/211
????	http://www.1point3acres.com/bbs/thread-124362-1-1.html	3.8	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME			
????	http://www.1point3acres.com/bbs/thread-124362-1-1.html	3.8	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	ME			
emilie1027	http://www.1point3acres.com/bbs/thread-124353-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			30/211
linaohan1993120	http://www.1point3acres.com/bbs/thread-123758-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS, CS	159+168+3	110(S24)	30/211
jscnm1993	http://www.1point3acres.com/bbs/thread-123877-1-1.html	3.2	Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
vivaroma	http://www.1point3acres.com/bbs/thread-123222-1-1.html	3.9	Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	EE			
e23lzh	http://www.1point3acres.com/bbs/thread-124235-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
darkestkun	http://www.1point3acres.com/bbs/thread-124074-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	Stat/Biostat			
suchanidiot	http://www.1point3acres.com/bbs/thread-123996-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE			
Catherin_ye	http://www.1point3acres.com/bbs/thread-119432-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	EE, ee	157+170+4	109?24?	30/211
??????	http://www.1point3acres.com/bbs/thread-123935-1-1.html	3.3	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
??????	http://www.1point3acres.com/bbs/thread-123935-1-1.html	3.3	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	EE			
wangsl11	http://www.1point3acres.com/bbs/thread-123753-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
firefly92	http://www.1point3acres.com/bbs/thread-118073-1-1.html	3.8	Fall	2015.0	PhD	AD	'University of California, Los Angeles'	ME			
selmiga	http://www.1point3acres.com/bbs/thread-123350-1-1.html		Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	EE			
